,x0,x1,x2,x3,x4,x5,x6,x7,z,d,s,q
204,10,315,196,286,467,250,795,313,1,0,0,0
205,16,325,307,279,588,303,794,361,0,0,0,0
206,10,301,167,273,588,303,794,361,0,0,1,0
207,389,310,146,490,588,303,794,361,0,0,0,1
208,10,337,293,282,588,303,794,361,1,0,0,1
209,10,429,319,352,588,303,794,361,1,1,0,0
210,10,466,336,366,588,303,794,361,1,0,0,0
211,56,354,302,307,588,303,794,361,1,0,0,0
212,26,331,234,299,588,303,794,361,1,0,0,0
213,22,363,351,294,588,303,794,361,1,0,0,1
214,10,497,152,472,588,303,794,361,1,0,0,0
215,389,310,146,490,588,303,794,361,1,0,0,0
216,389,310,146,490,588,303,794,361,1,0,0,0
217,389,310,146,490,588,303,794,361,1,0,0,0
218,389,310,146,490,588,303,794,361,0,1,0,0
219,103,377,371,316,588,303,794,361,1,0,0,0
220,12,403,264,326,467,250,798,308,1,0,0,0
221,389,310,146,490,547,285,798,329,1,0,0,0
222,389,310,146,490,536,294,798,344,0,0,0,0
223,389,310,146,490,606,285,798,323,0,0,1,1
224,389,310,146,490,588,303,794,361,0,0,0,1
225,389,310,146,490,463,351,628,377,0,0,0,1
226,10,444,322,389,627,395,798,432,1,0,0,1
227,10,497,266,419,476,304,768,360,1,0,0,0
228,12,488,89,476,405,284,798,404,1,0,0,1
229,389,310,146,490,460,254,798,358,0,0,1,0
230,389,310,146,490,483,250,795,345,0,0,0,0
231,389,310,146,490,545,274,798,346,0,0,1,0
232,389,310,146,490,451,250,797,342,0,0,0,0
233,389,310,146,490,536,285,798,351,0,0,0,0
234,389,310,146,490,407,250,798,347,0,0,0,0
235,389,310,146,490,405,250,798,362,0,0,0,0
236,389,310,146,490,481,271,798,361,0,0,0,0
237,389,310,146,490,485,272,798,361,0,0,0,0
238,389,310,146,490,530,282,797,348,0,0,0,0
239,389,310,146,490,407,250,796,361,0,0,0,0
240,389,310,146,490,513,281,798,346,0,0,0,0
241,389,310,146,490,436,258,798,361,0,0,0,0
242,389,310,146,490,529,282,798,349,0,0,0,0
243,389,310,146,490,408,250,798,361,0,0,0,0
244,389,310,146,490,539,284,797,348,0,0,0,0
245,389,310,146,490,409,250,798,361,0,0,0,0
246,389,310,146,490,423,252,798,360,0,0,1,0
247,389,310,146,490,501,266,798,356,0,1,1,0
248,178,290,317,266,529,255,798,318,0,1,1,0
249,10,324,371,266,588,303,794,361,0,1,0,0
250,389,310,146,490,588,303,794,361,1,0,0,0
251,389,310,146,490,588,303,794,361,0,0,0,0
252,169,312,275,296,588,303,794,361,0,0,0,0
253,10,334,348,281,588,303,794,361,0,0,0,0
254,10,335,156,314,588,303,794,361,0,0,0,0
255,105,337,212,319,588,303,794,361,0,0,0,0
256,103,337,204,320,588,303,794,361,0,0,0,0
257,10,336,104,322,588,303,794,361,0,0,0,0
258,135,318,315,290,588,303,794,361,0,0,0,0
259,389,310,146,490,588,303,794,361,0,0,0,0
260,10,337,312,289,588,303,794,361,0,0,0,0
261,10,332,312,284,588,303,794,361,0,1,1,0
262,144,310,325,284,588,303,794,361,0,1,1,0
263,22,350,168,329,588,303,794,361,0,1,1,0
264,11,500,209,462,588,303,794,361,0,1,1,0
265,123,281,322,250,465,287,794,345,0,1,0,0
266,10,432,376,340,658,355,796,377,1,0,0,1
267,11,471,309,391,588,303,794,361,1,0,0,1
268,10,479,237,418,661,309,791,328,1,0,0,1
