Unnamed: 0.1,Unnamed: 0,x,y,w,h,label,z,d,s,q
215,215,11,274,29,294,1,1,0,0,0
216,216,5,242,179,362,1,1,0,0,0
217,217,464,192,588,296,1,1,0,0,0
218,218,246,230,292,260,1,1,0,0,1
219,219,-2,180,136,302,1,1,0,0,0
220,220,230,268,288,300,1,1,0,0,0
221,221,502,190,760,346,1,1,0,0,0
222,222,333,250,351,266,1,1,0,0,0
223,223,548,230,610,254,1,0,1,0,0
224,224,372,239,540,325,1,0,1,1,0
225,225,340,332,494,384,1,0,1,0,0
226,226,476,212,804,382,1,0,0,0,0
227,227,465,234,795,382,1,0,0,0,0
228,228,458,226,794,382,1,0,0,0,0
229,229,412,228,798,374,1,0,0,0,0
230,230,422,226,790,374,1,1,1,0,0
231,231,403,225,781,377,1,1,1,0,0
232,232,-2,240,452,470,1,1,0,0,1
233,233,103,208,237,298,1,1,0,0,0
234,234,250,245,312,269,1,0,0,1,0
235,235,226,229,286,263,1,1,0,0,0
236,236,159,214,289,294,1,0,0,1,1
237,237,151,189,491,327,1,1,0,0,0
238,238,431,246,449,270,1,0,0,1,0
239,239,424,200,478,232,1,0,0,1,0
240,240,363,147,509,293,1,0,0,0,1
241,241,351,117,715,321,1,0,0,0,1
242,242,38,256,182,336,1,1,0,0,0
243,243,76,267,140,319,1,1,0,0,0
244,244,16,290,68,340,1,1,0,0,0
245,245,103,246,181,268,1,1,0,0,0
246,246,-4,221,156,317,1,1,0,0,0
247,247,40,233,104,301,1,1,0,0,0
248,248,430,232,476,260,1,0,0,0,1
249,249,338,218,348,254,1,0,0,1,0
250,250,242,198,260,244,1,0,1,0,0
251,251,74,188,98,246,1,0,0,1,0
252,252,602,250,662,278,1,1,0,0,0
253,253,634,222,734,322,1,1,0,0,0
254,254,558,202,808,340,1,1,0,0,0
255,255,411,214,535,296,1,0,0,0,0
256,256,452,215,518,281,1,0,0,0,0
257,257,445,188,591,322,1,0,0,0,1
258,258,440,180,652,330,1,1,0,0,1
259,259,448,161,766,363,1,1,0,0,1
260,260,486,116,812,416,1,1,1,0,0
261,261,635,244,683,282,1,0,0,1,1
262,262,481,244,527,276,1,0,0,1,1
263,263,142,226,210,298,1,1,0,0,0
264,264,31,170,247,308,1,1,0,0,1
265,265,6,138,298,364,1,1,0,0,0
266,266,267,245,277,271,1,1,1,0,0
267,267,204,250,218,278,1,0,0,1,0
268,268,640,312,736,402,1,0,0,0,0
269,269,690,252,702,278,1,1,0,0,0
270,270,242,250,296,284,1,1,0,0,0
271,271,200,196,320,292,1,1,0,0,0
272,272,70,210,248,324,1,1,0,0,0
273,273,422,205,476,245,1,0,0,1,0
274,274,524,156,684,314,1,0,0,1,0
275,275,566,184,642,284,1,0,0,1,0
276,276,402,220,426,230,1,0,1,0,0
277,277,534,158,606,262,1,0,1,0,0
278,278,476,182,544,268,1,0,0,0,0
279,279,442,225,496,263,1,1,0,0,0
280,280,177,252,351,316,1,1,0,0,0
281,281,59,264,291,354,1,1,0,0,0
282,282,374,224,414,248,1,1,0,0,0
283,283,359,190,485,314,1,1,0,0,0
284,284,570,111,790,373,1,1,1,0,0
285,285,45,241,127,331,1,1,0,0,0
286,286,-6,214,182,358,1,1,0,0,0
287,287,248,182,278,204,1,0,0,0,0
288,288,398,206,452,236,1,0,0,0,0
289,289,158,182,236,242,1,1,0,0,1
290,290,695,257,759,373,1,1,1,0,0
291,291,122,232,168,258,1,1,0,0,0
292,292,4,190,108,348,1,1,0,0,0
293,293,312,254,334,268,1,1,0,0,0
294,294,120,240,204,304,1,1,0,0,0
295,295,289,219,309,271,1,0,0,1,0
296,296,84,211,108,277,1,0,0,0,0
297,297,418,238,426,264,1,0,0,0,0
298,298,446,248,456,274,1,0,0,0,0
299,299,274,78,284,116,1,0,0,0,0
300,300,482,246,494,274,1,0,0,0,0
301,301,47,215,239,317,1,1,0,0,0
302,302,570,215,588,269,1,0,0,1,0
303,303,582,206,616,278,1,0,0,0,1
304,304,666,106,784,402,1,1,0,0,0
305,305,141,228,323,304,1,0,0,0,1
306,306,462,212,806,312,1,1,0,0,0
307,307,161,228,233,306,1,1,0,0,0
308,308,16,245,304,361,1,1,0,0,0
309,309,2,225,178,353,1,1,0,0,0
310,310,16,242,56,292,1,0,0,0,1
311,311,480,197,546,277,1,1,1,0,0
312,312,331,228,367,240,1,1,1,0,0
313,313,444,142,580,300,1,1,1,0,0
314,314,620,114,800,400,1,1,0,0,0
315,315,271,274,325,302,1,1,0,0,0
316,316,202,258,262,288,1,1,1,0,0
317,317,140,252,186,276,1,1,0,0,0
